RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,competencia,costo_edicion,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
1817,28,400.0,15,8,3,0.15,400,COLD_RESTART,0.25,0.7,5,3,28,COLD_RESTART,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1812,28,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,0.5,5,3,28,COLD_RESTART,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1813,28,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,0.7,5,3,28,COLD_RESTART,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1809,28,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,0.7,5,3,28,COLD_RESTART,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1822,28,400.0,15,8,3,0.15,400,COLD_RESTART,0.5,0.9,5,3,28,COLD_RESTART,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1823,28,400.0,15,8,3,0.15,400,COLD_RESTART,0.5,1.0,5,3,28,COLD_RESTART,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1821,28,400.0,15,8,3,0.15,400,COLD_RESTART,0.5,0.7,5,3,28,COLD_RESTART,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1824,28,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,0.5,5,3,28,CLOSED_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1825,28,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,0.7,5,3,28,CLOSED_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1790,27,400.0,15,8,3,0.15,400,GOVERNED,0.5,0.9,5,3,27,GOVERNED,1,41,332,24,205,85,84,2,0,0.0117647058823529,1.0,10.0,0.0,10.0
