RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,radio,competencia,costo_edicion,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
763,15,400.0,15,8,3,0.15,400,GOVERNED,0.25,3.0,0.9,5,15,GOVERNED,3,265,125,9,46,34,34,1,0,0.0,1.0,30.0,0.0,30.0
759,15,400.0,15,8,3,0.15,400,GOVERNED,0.1,1.0,0.9,5,15,GOVERNED,5,388,10,2,0,3,3,0,0,0.0,5.333333333333333,50.0,0.0,50.0
762,15,400.0,15,8,3,0.15,400,GOVERNED,0.25,1.0,0.9,5,15,GOVERNED,4,360,32,6,3,9,8,1,0,0.11111111111111116,4.25,40.0,0.0,40.0
760,15,400.0,15,8,3,0.15,400,GOVERNED,0.1,3.0,0.9,5,15,GOVERNED,9,375,20,4,0,4,4,1,0,0.0,2.75,90.0,0.0,90.0
765,15,400.0,15,8,3,0.15,400,GOVERNED,0.5,1.0,0.9,5,15,GOVERNED,5,383,9,0,3,9,8,5,0,0.11111111111111116,1.875,50.0,0.0,50.0
758,15,400.0,15,8,3,0.15,400,GOVERNED,0.0,,0.9,5,15,GOVERNED,27,400,0,0,0,0,0,0,0,0.0,0.0,270.0,0.0,270.0
766,15,400.0,15,8,3,0.15,400,GOVERNED,0.5,3.0,0.9,5,15,GOVERNED,2,339,47,2,20,20,19,6,0,0.050000000000000044,1.368421052631579,20.0,0.0,20.0
752,15,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,,0.9,5,15,CLOSED_LOOP,3,87,286,23,115,72,72,4,0,0.0,1.0,30.0,0.0,30.0
769,16,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,3.0,0.9,5,16,OPEN_LOOP,15,400,0,0,0,0,0,0,0,0.0,0.0,150.0,0.0,150.0
755,15,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,,0.9,5,15,CLOSED_LOOP,0,11,378,9,317,97,97,1,0,0.0,1.0,0.0,0.0,0.0
