RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,presupuesto,competencia,costo_edicion,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
90,3,400.0,15,8,3,0.15,400,GOVERNED,0.25,10,0.9,5,3,3,GOVERNED,10,348,40,7,7,13,12,4,0,0.07692307692307687,1.9166666666666667,100.0,0.0,100.0
88,3,400.0,15,8,3,0.15,400,GOVERNED,0.25,3,0.9,5,3,3,GOVERNED,12,369,15,3,1,19,18,13,0,0.052631578947368474,1.7222222222222223,120.0,0.0,120.0
80,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,3,0.9,5,3,3,CLOSED_LOOP,0,35,343,17,239,88,88,4,0,0.0,1.0340909090909092,0.0,0.0,0.0
82,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,10,0.9,5,3,3,CLOSED_LOOP,0,35,343,17,239,88,88,4,0,0.0,1.0340909090909092,0.0,0.0,0.0
97,4,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,5,0.9,5,3,4,CLOSED_LOOP,7,368,27,3,3,9,9,1,0,0.0,3.6666666666666665,70.0,0.0,70.0
96,4,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,3,0.9,5,3,4,CLOSED_LOOP,7,368,27,3,3,9,9,1,0,0.0,3.6666666666666665,70.0,0.0,70.0
81,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,5,0.9,5,3,3,CLOSED_LOOP,0,35,343,17,239,88,88,4,0,0.0,1.0340909090909092,0.0,0.0,0.0
98,4,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,10,0.9,5,3,4,CLOSED_LOOP,7,368,27,3,3,9,9,1,0,0.0,3.6666666666666665,70.0,0.0,70.0
92,3,400.0,15,8,3,0.15,400,GOVERNED,0.5,3,0.9,5,3,3,GOVERNED,13,320,34,3,21,55,55,43,0,0.0,1.2545454545454546,130.0,0.0,130.0
94,3,400.0,15,8,3,0.15,400,GOVERNED,0.5,10,0.9,5,3,3,GOVERNED,9,182,193,10,154,72,71,15,0,0.01388888888888884,1.1408450704225352,90.0,0.0,90.0
99,4,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,25,0.9,5,3,4,CLOSED_LOOP,7,368,27,3,3,9,9,1,0,0.0,3.6666666666666665,70.0,0.0,70.0
91,3,400.0,15,8,3,0.15,400,GOVERNED,0.25,25,0.9,5,3,3,GOVERNED,10,348,40,7,7,13,12,4,0,0.07692307692307687,1.9166666666666667,100.0,0.0,100.0
101,4,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,5,0.9,5,3,4,CLOSED_LOOP,2,290,97,11,32,27,27,2,0,0.0,1.2962962962962963,20.0,0.0,20.0
83,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,25,0.9,5,3,3,CLOSED_LOOP,0,35,343,17,239,88,88,4,0,0.0,1.0340909090909092,0.0,0.0,0.0
100,4,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,3,0.9,5,3,4,CLOSED_LOOP,2,290,97,11,32,27,27,2,0,0.0,1.2962962962962963,20.0,0.0,20.0
102,4,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,10,0.9,5,3,4,CLOSED_LOOP,2,290,97,11,32,27,27,2,0,0.0,1.2962962962962963,20.0,0.0,20.0
103,4,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,25,0.9,5,3,4,CLOSED_LOOP,2,290,97,11,32,27,27,2,0,0.0,1.2962962962962963,20.0,0.0,20.0
105,4,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,5,0.9,5,3,4,CLOSED_LOOP,0,204,178,6,99,50,50,9,0,0.0,1.14,0.0,0.0,0.0
106,4,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,10,0.9,5,3,4,CLOSED_LOOP,0,204,178,6,99,50,50,9,0,0.0,1.14,0.0,0.0,0.0
108,4,400.0,15,8,3,0.15,400,GOVERNED,0.1,3,0.9,5,3,4,GOVERNED,7,368,27,3,3,9,9,1,0,0.0,3.6666666666666665,70.0,0.0,70.0
109,4,400.0,15,8,3,0.15,400,GOVERNED,0.1,5,0.9,5,3,4,GOVERNED,7,368,27,3,3,9,9,1,0,0.0,3.6666666666666665,70.0,0.0,70.0
93,3,400.0,15,8,3,0.15,400,GOVERNED,0.5,5,0.9,5,3,3,GOVERNED,6,289,89,5,71,41,41,17,0,0.0,1.024390243902439,60.0,0.0,60.0
104,4,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,3,0.9,5,3,4,CLOSED_LOOP,0,204,178,6,99,50,50,9,0,0.0,1.14,0.0,0.0,0.0
111,4,400.0,15,8,3,0.15,400,GOVERNED,0.1,25,0.9,5,3,4,GOVERNED,7,368,27,3,3,9,9,1,0,0.0,3.6666666666666665,70.0,0.0,70.0
95,3,400.0,15,8,3,0.15,400,GOVERNED,0.5,25,0.9,5,3,3,GOVERNED,0,35,343,17,239,88,88,4,0,0.0,1.0340909090909092,0.0,0.0,0.0
113,4,400.0,15,8,3,0.15,400,GOVERNED,0.25,5,0.9,5,3,4,GOVERNED,7,337,46,5,18,26,26,12,0,0.0,1.1538461538461537,70.0,0.0,70.0
112,4,400.0,15,8,3,0.15,400,GOVERNED,0.25,3,0.9,5,3,4,GOVERNED,7,365,22,3,6,22,20,10,0,0.09090909090909094,1.55,70.0,0.0,70.0
120,5,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,3,0.9,5,3,5,CLOSED_LOOP,7,391,5,1,0,4,4,3,0,0.0,4.5,70.0,0.0,70.0
117,4,400.0,15,8,3,0.15,400,GOVERNED,0.5,5,0.9,5,3,4,GOVERNED,4,248,130,5,70,52,51,16,0,0.019230769230769273,1.1764705882352942,40.0,0.0,40.0
